,Wallet,XP,Reward Percentage,HARMONIX,,RESOLV,,,,HYPERSWAP (AFTER TGE)
,,,,"$2,000 worth of $HYPE (dollar)","1,000,000 Harmonix Points",$1000 worth of $USR,"15,000,000 Resolv Points",Random: 30 Blueprint NFTs,Engage on-chain: 100 Blueprint NFTs,"$5,000 worth of $HSPX (at HyperSwap’s TGE valuation)"
0,0x0077bddbd1c19aedf79ccf40624ee8a18d331a4b,364,0.09%,1.85,924.87,0.92,13873.05,FALSE,FALSE,4.62
2,0x023468c9c9d9b99444ddd614fa6581e6495aafef,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
3,0x02ab9d831ba030997d1a84c62d150ce0aaf2a759,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
4,0x046020bf59d0896371c0388baca5549e566b2f73,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
5,0x058fd36a48e1c9980b34b41eac8a46c3eaf19a41,116,0.03%,0.59,294.74,0.29,4421.08,FALSE,FALSE,1.47
6,0x0833cc6673d4de9d81cfe467ba34803f43f13ecc,6648.07,1.69%,33.78,16891.76,16.89,253376.45,FALSE,FALSE,84.46
7,0x0bfd6e674e98751b1b4e9ecbc183cb79da16b8f0,2274.71,0.58%,11.56,5779.70,5.78,86695.53,FALSE,FALSE,28.90
8,0x0f8e28e80a32582fac87cfc3106953a59c9ef4ec,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
9,0x0e9fa70aeaf369cd532ca34b13d82c326e24e68a,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
10,0x0feee86fe2513461f701875ab4cfab4b08323484,443,0.11%,2.25,1125.60,1.13,16883.96,FALSE,FALSE,5.63
11,0x10adb600f8e5db32338ad9322d76b3f8262d25a8,159,0.04%,0.81,404.00,0.40,6059.93,FALSE,FALSE,2.02
12,0x11be8424babc96c6250bc846bf8b465ae0a3106b,53,0.01%,0.27,134.67,0.13,2019.98,FALSE,FALSE,0.67
13,0x130f5c51c9f2bcfec0c977cfcac890c82b357af6,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
14,0x163a743b7ff602b315bf96674e6191f5cc57249a,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
15,0x16a3e35404d7e7925e95935c1affca791223a7d6,557,0.14%,2.83,1415.25,1.42,21228.82,FALSE,FALSE,7.08
16,0x17cc186f57359baa282bf3bd8bd2fe1f47b76d40,110,0.03%,0.56,279.49,0.28,4192.41,FALSE,FALSE,1.40
17,0x19f353b67771d7b00ff9b4da3d2123cc8478fd8e,216,0.05%,1.10,548.82,0.55,8232.36,FALSE,FALSE,2.74
18,0x1fbf747956912921c9dc857c168686ab77b88ef5,332,0.08%,1.69,843.56,0.84,12653.44,FALSE,FALSE,4.22
19,0x1b53f692a76491f43373573a6cc0f9b8bf504099,159,0.04%,0.81,404.00,0.40,6059.93,FALSE,FALSE,2.02
20,0x1bd5371940f7d032381a2da7f7e651f4e398fdb2,100,0.03%,0.51,254.09,0.25,3811.28,FALSE,FALSE,1.27
21,0x1f16a131169e602fe0271daf538d721442f5180a,83,0.02%,0.42,210.89,0.21,3163.36,FALSE,FALSE,1.05
22,0x21554f1ba9a35ef5eea42b1e4d8eb83826b9eb22,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
23,0x21ad3f3d7b5770a62891bde06ca7db3d8b518dd5,37360.76,9.49%,189.86,94928.17,94.93,1423922.54,FALSE,FALSE,474.64
24,0x2216456c29002b294b44b979fa3b0fbabe711198,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
25,0x2394be864634171cf8539eff0bfc1a2a5b6c981f,232,0.06%,1.18,589.48,0.59,8842.17,FALSE,FALSE,2.95
26,0x25e9e521aac2cc46745173e8bb20073f18c0ce38,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
27,0x26dab2ea2fadc971bfafe4b48dcba9e2396919a7,190,0.05%,0.97,482.76,0.48,7241.43,FALSE,FALSE,2.41
28,0x26ffe1d17cff02bd3045be12981839abf65c78ea,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
29,0x2c8d1fd63aa75f1b8b5b2380da75d7ee333c6db0,80,0.02%,0.41,203.27,0.20,3049.02,FALSE,FALSE,1.02
30,0x2ed71aed91b73be0d6fd3ad1bf45f2a6731968c4,1892.31,0.48%,9.62,4808.08,4.81,72121.20,FALSE,FALSE,24.04
31,0x2a27510c896b04bcd2f890b2eedaf5fe70823bfd,156,0.04%,0.79,396.37,0.40,5945.59,FALSE,FALSE,1.98
32,0x2a3c7f348adfdb1b2b44b97055751d7e28e48f67,366,0.09%,1.86,929.95,0.93,13949.28,FALSE,FALSE,4.65
33,0x2cab17f28592b5379dbc297d605953a15472f198,10,0.00%,0.05,25.41,0.03,381.13,FALSE,FALSE,0.13
34,0x2fd42b700a7596d7f024a33eda8689db031d4f47,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
35,0x32f01d95f55772253da9e6df20c0c07dbd1a48f8,92,0.02%,0.47,233.76,0.23,3506.38,FALSE,FALSE,1.17
36,0x3435426aa59d5a9b1dc1369d68ee41f86654ef6d,80,0.02%,0.41,203.27,0.20,3049.02,FALSE,FALSE,1.02
37,0x356aa9fab14d6e8fd00a3fbb85704a4d842a5831,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
38,0x36fb7efd55170a92327e73970d72a025c405f58f,309,0.08%,1.57,785.12,0.79,11776.85,FALSE,FALSE,3.93
39,0x38321a377d38748d0bf7cd2106b0dac67016ad4e,744,0.19%,3.78,1890.39,1.89,28355.91,FALSE,FALSE,9.45
40,0x38775167441d37e17e53fb8ef94838c85f79a4a7,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
41,0x3970122d5549f2f4daae31844c645b4f54fb1bf2,232,0.06%,1.18,589.48,0.59,8842.17,FALSE,FALSE,2.95
42,0x39cdf890edbc922c22a31cb02337fd3db9e4b8ce,397,0.10%,2.02,1008.72,1.01,15130.77,FALSE,FALSE,5.04
43,0x39e12919f911ce95972c64e908267eb2c6f3e6dc,130,0.03%,0.66,330.31,0.33,4954.66,FALSE,FALSE,1.65
44,0x3ad3efe2b52e77a9017b11dc2ad9e64a6e113010,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
45,0x3aeda9419f484847ed7ff2b2160714f99c849288,70,0.02%,0.36,177.86,0.18,2667.89,FALSE,FALSE,0.89
46,0x3aa5c76fcf4c38aaad41cc5215ab483478b74740,20,0.01%,0.10,50.82,0.05,762.26,FALSE,FALSE,0.25
47,0x3ae7a58ec8babc566e39c60bcf385fd1d1a029a6,83,0.02%,0.42,210.89,0.21,3163.36,FALSE,FALSE,1.05
48,0x3bd6c934377f4a5172a0ed48bfe21a81223a278b,349,0.09%,1.77,886.76,0.89,13301.36,FALSE,FALSE,4.43
49,0x3a80552c297c44e9016c016ce557e5a4bfbb702b,364,0.09%,1.85,924.87,0.92,13873.05,FALSE,FALSE,4.62
51,0x41421d1fc7d0db7040a8c8d864fc2f0913ab936b,30,0.01%,0.15,76.23,0.08,1143.38,FALSE,FALSE,0.38
52,0x452c9b57f8029e3049d9a1bc636b509ac39f246e,375,0.10%,1.91,952.82,0.95,14292.29,FALSE,FALSE,4.76
53,0x4539053a31d0eb3f121b1a8f0383295e4f1fd340,170,0.04%,0.86,431.94,0.43,6479.17,FALSE,FALSE,2.16
54,0x45f707e26a18547192820dcf01a05ad2712dadb4,166,0.04%,0.84,421.78,0.42,6326.72,FALSE,FALSE,2.11
55,0x469614d6297e721e419d58eed66e2c583aa36d3f,113,0.03%,0.57,287.12,0.29,4306.74,FALSE,FALSE,1.44
56,0x4851fcb32781d443e762571fa877e94b40aee4ee,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
57,0x49f86dc99bd459460a04858a740fe92394564b53,182,0.05%,0.92,462.44,0.46,6936.53,FALSE,FALSE,2.31
