datetime,funding_history
2024-04-05,2.1666666666666664e-05
2024-04-06,2.2291666666666665e-05
2024-04-07,-1.5666666666666667e-05
2024-04-08,3.325e-05
2024-04-09,5.217391304347817e-07
2024-04-10,1.7041666666666666e-05
2024-04-11,-9.250000000000001e-06
2024-04-12,2.0666666666666663e-05
2024-04-13,-1.1999999999999999e-05
2024-04-14,-2.0499999999999997e-05
2024-04-15,-2.083333333333333e-06
2024-04-16,-1.5875e-05
2024-04-17,7.249999999999999e-06
2024-04-18,1.2458333333333334e-05
2024-04-19,7.916666666666667e-07
2024-04-20,1.9625e-05
2024-04-21,2.8749999999999987e-06
2024-04-22,1.0291666666666668e-05
2024-04-23,1.1999999999999999e-05
2024-04-24,2.725e-05
2024-04-25,5.183333333333334e-05
2024-04-26,3.9874999999999993e-05
2024-04-27,5.687499999999999e-05
2024-04-28,6.158333333333334e-05
2024-04-29,3.070833333333333e-05
2024-04-30,2.4041666666666674e-05
2024-05-01,6.550000000000002e-05
2024-05-02,-4.908333333333333e-05
2024-05-03,-9.43478260869565e-06
2024-05-04,8.666666666666666e-06
2024-05-05,2.0750000000000006e-05
2024-05-06,1.4833333333333332e-05
2024-05-07,3.21304347826087e-05
2024-05-08,9.5e-06
2024-05-09,3.7583333333333337e-05
2024-05-10,3.9750000000000004e-05
2024-05-11,2.1708333333333337e-05
2024-05-12,1.6416666666666668e-05
2024-05-13,1.0124999999999999e-05
2024-05-14,-5.7916666666666666e-06
2024-05-15,-9.458333333333332e-06
2024-05-16,-3.237500000000001e-05
2024-05-17,1.904166666666667e-05
2024-05-18,2.1625e-05
2024-05-19,1.6083333333333332e-05
2024-05-20,1.0749999999999999e-05
2024-05-21,0.00010200000000000003
2024-05-22,0.000114875
2024-05-23,9.3625e-05
2024-05-24,9.1625e-05
2024-05-25,5.933333333333334e-05
2024-05-26,1.1166666666666668e-05
2024-05-27,5.608333333333331e-05
2024-05-28,8.86086956521739e-05
2024-05-29,5.678260869565218e-05
2024-05-30,2.3541666666666665e-05
2024-05-31,7.304347826086961e-06
2024-06-01,5.395833333333334e-05
2024-06-02,1.3833333333333334e-05
2024-06-03,1.666666666666667e-06
2024-06-04,2.1249999999999996e-06
2024-06-05,3.5000000000000004e-05
2024-06-06,3.620833333333333e-05
2024-06-07,4.945833333333333e-05
2024-06-08,1.7e-05
2024-06-09,-2.0000000000000003e-06
2024-06-10,1.1750000000000001e-05
2024-06-11,2.6083333333333338e-05
2024-06-12,1.4499999999999998e-05
2024-06-13,2.3166666666666666e-05
2024-06-14,4.9541666666666653e-05
2024-06-15,5.0625e-05
2024-06-16,2.8250000000000006e-05
2024-06-17,2.7041666666666666e-05
2024-06-18,5.416666666666667e-07
2024-06-19,3.883333333333334e-05
2024-06-20,3.016666666666666e-05
2024-06-21,1.4625000000000001e-05
2024-06-22,1.9875e-05
2024-06-23,1.7541666666666665e-05
2024-06-24,2.041666666666667e-05
2024-06-25,6.587499999999999e-05
2024-06-26,6.333333333333333e-06
2024-06-27,6.833333333333334e-06
2024-06-28,3.775e-05
2024-06-29,4.8875e-05
2024-06-30,4.708333333333333e-05
2024-07-01,2.8541666666666665e-05
2024-07-02,3.233333333333333e-05
2024-07-03,1.770833333333333e-05
2024-07-04,7.875e-06
2024-07-05,1.6708333333333334e-05
2024-07-06,1.85e-05
2024-07-07,-6.583333333333334e-06
2024-07-08,-3.5833333333333335e-06
2024-07-09,9.833333333333335e-06
2024-07-10,2.083333333333333e-06
2024-07-11,4.5833333333333295e-07
2024-07-12,-1.2499999999999999e-05
2024-07-13,6.250000000000002e-07
2024-07-14,-7.916666666666673e-07
2024-07-15,-1.420833333333333e-05
2024-07-16,-1.4583333333333333e-06
2024-07-17,2.5416666666666668e-06
2024-07-18,8.291666666666665e-06
2024-07-19,1.770833333333333e-05
2024-07-20,2.875e-06
2024-07-21,2.3791666666666668e-05
2024-07-22,1.6499999999999998e-05
2024-07-23,4.4916666666666656e-05
2024-07-24,9.875000000000001e-06
2024-07-25,-3.804166666666667e-05
2024-07-26,-4.5791666666666664e-05
2024-07-27,-5.295833333333333e-05
2024-07-28,-1.4291666666666666e-05
2024-07-29,-2.1249999999999996e-06
2024-07-30,-2.7583333333333334e-05
