datetime,funding_history
2024-04-05,1.6416666666666665e-05
2024-04-06,2.2916666666666664e-05
2024-04-07,3.329166666666667e-05
2024-04-08,4.025e-05
2024-04-09,5.812499999999998e-05
2024-04-10,8.395833333333333e-05
2024-04-11,6.941666666666667e-05
2024-04-12,6.841666666666667e-05
2024-04-13,1.4791666666666664e-05
2024-04-14,-6.4166666666666665e-06
2024-04-15,-2.958333333333333e-06
2024-04-16,-4.958333333333333e-06
2024-04-17,-1.8333333333333333e-06
2024-04-18,-5.083333333333333e-06
2024-04-19,-0.00041825
2024-04-20,1.6666666666666676e-07
2024-04-21,3.5000000000000016e-06
2024-04-22,-1.8166666666666663e-05
2024-04-23,-3.2541666666666674e-05
2024-04-24,-1.716666666666667e-05
2024-04-25,3.820833333333334e-05
2024-04-26,9.833333333333335e-06
2024-04-27,-9.583333333333334e-07
2024-04-28,-8.750000000000001e-06
2024-04-29,1.0291666666666668e-05
2024-04-30,2.4666666666666665e-05
2024-05-01,3.333333333333333e-05
2024-05-02,2.2833333333333334e-05
2024-05-03,4.579166666666666e-05
2024-05-04,3.6375e-05
2024-05-05,5.7375000000000005e-05
2024-05-06,5.645833333333335e-05
2024-05-07,2.9625000000000002e-05
2024-05-08,3.1083333333333334e-05
2024-05-09,2.7541666666666668e-05
2024-05-10,3.591666666666667e-05
2024-05-11,-5.9916666666666675e-05
2024-05-12,6.958333333333333e-06
2024-05-13,1.7541666666666665e-05
2024-05-14,2.2291666666666662e-05
2024-05-15,2.175e-05
2024-05-16,2.125e-05
2024-05-17,3.041666666666667e-05
2024-05-18,3.583333333333333e-05
2024-05-19,3.5333333333333336e-05
2024-05-20,2.2291666666666672e-05
2024-05-21,8.649999999999999e-05
2024-05-22,9.483333333333334e-05
2024-05-23,9.970833333333334e-05
2024-05-24,7.316666666666667e-05
2024-05-25,8.316666666666666e-05
2024-05-26,8.604166666666667e-05
2024-05-27,9.195833333333334e-05
2024-05-28,0.00011508333333333334
2024-05-29,0.00011258333333333331
2024-05-30,0.00010474999999999998
2024-05-31,7.604166666666665e-05
2024-06-01,0.00011337499999999999
2024-06-02,8.483333333333334e-05
2024-06-03,6.325e-05
2024-06-04,2.1125e-05
2024-06-05,5.5e-05
2024-06-06,6.766666666666668e-05
2024-06-07,5.929166666666666e-05
2024-06-08,4.441666666666668e-05
2024-06-09,3.141666666666667e-05
2024-06-10,3.6e-05
2024-06-11,3.6958333333333335e-05
2024-06-12,2.225e-05
2024-06-13,9.208333333333335e-06
2024-06-14,-1e-06
2024-06-15,-4.999999999999996e-07
2024-06-16,-9.291666666666666e-06
2024-06-17,-1.4833333333333338e-05
2024-06-18,-2.1500000000000004e-05
2024-06-19,-2.8541666666666665e-05
2024-06-20,-1.5249999999999998e-05
2024-06-21,2.0833333333333317e-07
2024-06-22,1.0249999999999998e-05
2024-06-23,-4.208333333333333e-06
2024-06-24,-3.1666666666666663e-06
2024-06-25,-7.083333333333333e-06
2024-06-26,-1.5416666666666668e-06
2024-06-27,1.7458333333333335e-05
2024-06-28,1.8291666666666666e-05
2024-06-29,2.3125000000000003e-05
2024-06-30,1.3000000000000003e-05
2024-07-01,4.374999999999999e-06
2024-07-02,-2.2916666666666666e-06
2024-07-03,-9.958333333333333e-06
2024-07-04,-1.775e-05
2024-07-05,-1.933333333333333e-05
2024-07-06,-1.5875000000000003e-05
2024-07-07,-1.4083333333333335e-05
2024-07-08,-1.2958333333333333e-05
2024-07-09,-1.7249999999999996e-05
2024-07-10,-1.9749999999999996e-05
2024-07-11,-1.6e-05
2024-07-12,-1.2791666666666666e-05
2024-07-13,-1.2083333333333335e-05
2024-07-14,-2.1125e-05
2024-07-15,-2.245833333333333e-05
2024-07-16,-8.249999999999999e-06
2024-07-17,-1.4583333333333333e-06
2024-07-18,5.000000000000001e-07
2024-07-19,2.708333333333333e-06
