Wallet,Points
0x0077bddbd1c19aedf79ccf40624ee8a18d331a4b,924.87
0x023468c9c9d9b99444ddd614fa6581e6495aafef,462.44
0x02ab9d831ba030997d1a84c62d150ce0aaf2a759,76.23
0x046020bf59d0896371c0388baca5549e566b2f73,330.31
0x058fd36a48e1c9980b34b41eac8a46c3eaf19a41,294.74
0x0833cc6673d4de9d81cfe467ba34803f43f13ecc,16891.76
0x0bfd6e674e98751b1b4e9ecbc183cb79da16b8f0,5779.7
0x0f8e28e80a32582fac87cfc3106953a59c9ef4ec,287.12
0x0e9fa70aeaf369cd532ca34b13d82c326e24e68a,462.44
0x0feee86fe2513461f701875ab4cfab4b08323484,1125.6
0x10adb600f8e5db32338ad9322d76b3f8262d25a8,404
0x11be8424babc96c6250bc846bf8b465ae0a3106b,134.67
0x130f5c51c9f2bcfec0c977cfcac890c82b357af6,287.12
0x163a743b7ff602b315bf96674e6191f5cc57249a,76.23
0x16a3e35404d7e7925e95935c1affca791223a7d6,1415.25
0x17cc186f57359baa282bf3bd8bd2fe1f47b76d40,279.49
0x19f353b67771d7b00ff9b4da3d2123cc8478fd8e,548.82
0x1fbf747956912921c9dc857c168686ab77b88ef5,843.56
0x1b53f692a76491f43373573a6cc0f9b8bf504099,404
0x1bd5371940f7d032381a2da7f7e651f4e398fdb2,254.09
0x1f16a131169e602fe0271daf538d721442f5180a,210.89
0x21554f1ba9a35ef5eea42b1e4d8eb83826b9eb22,76.23
0x21ad3f3d7b5770a62891bde06ca7db3d8b518dd5,94928.17
0x2216456c29002b294b44b979fa3b0fbabe711198,76.23
0x2394be864634171cf8539eff0bfc1a2a5b6c981f,589.48
0x25e9e521aac2cc46745173e8bb20073f18c0ce38,330.31
0x26dab2ea2fadc971bfafe4b48dcba9e2396919a7,482.76
0x26ffe1d17cff02bd3045be12981839abf65c78ea,287.12
0x2c8d1fd63aa75f1b8b5b2380da75d7ee333c6db0,203.27
0x2ed71aed91b73be0d6fd3ad1bf45f2a6731968c4,4808.08
0x2a27510c896b04bcd2f890b2eedaf5fe70823bfd,396.37
0x2a3c7f348adfdb1b2b44b97055751d7e28e48f67,929.95
0x2cab17f28592b5379dbc297d605953a15472f198,25.41
0x2fd42b700a7596d7f024a33eda8689db031d4f47,76.23
0x32f01d95f55772253da9e6df20c0c07dbd1a48f8,233.76
0x3435426aa59d5a9b1dc1369d68ee41f86654ef6d,203.27
0x356aa9fab14d6e8fd00a3fbb85704a4d842a5831,330.31
0x36fb7efd55170a92327e73970d72a025c405f58f,785.12
0x38321a377d38748d0bf7cd2106b0dac67016ad4e,1890.39
0x38775167441d37e17e53fb8ef94838c85f79a4a7,462.44
0x3970122d5549f2f4daae31844c645b4f54fb1bf2,589.48
0x39cdf890edbc922c22a31cb02337fd3db9e4b8ce,1008.72
0x39e12919f911ce95972c64e908267eb2c6f3e6dc,330.31
0x3ad3efe2b52e77a9017b11dc2ad9e64a6e113010,76.23
0x3aeda9419f484847ed7ff2b2160714f99c849288,177.86
0x3aa5c76fcf4c38aaad41cc5215ab483478b74740,50.82
0x3ae7a58ec8babc566e39c60bcf385fd1d1a029a6,210.89
0x3bd6c934377f4a5172a0ed48bfe21a81223a278b,886.76
0x3a80552c297c44e9016c016ce557e5a4bfbb702b,924.87
0x41421d1fc7d0db7040a8c8d864fc2f0913ab936b,76.23
0x452c9b57f8029e3049d9a1bc636b509ac39f246e,952.82
0x4539053a31d0eb3f121b1a8f0383295e4f1fd340,431.94
0x45f707e26a18547192820dcf01a05ad2712dadb4,421.78
0x469614d6297e721e419d58eed66e2c583aa36d3f,287.12
0x4851fcb32781d443e762571fa877e94b40aee4ee,462.44
0x49f86dc99bd459460a04858a740fe92394564b53,462.44
0x4ce3cbd9dc547f7f6553070fb630ebdc7cc4ed49,284.58
0x529f74288d69bc43496834cc9770d115cc5b604c,25.41
0x56e5d6a40079585ae8adbe8470fa66ad7e9daf05,988.39
0x56b835e914c58f51b118b398036772e70f23e23b,462.44
0x577b44daea599f13d4daa42990716690c7f18208,462.44
0x57d5d16f528a8639b2e1ae48be933cc98756883c,76.23
0x5874fcc916fd5bf0a3ed81cc0c91f7667e3ab557,254.09
0x5d33a8d5cbc06df574c6920841dd03f3ed555178,254.09
0x5ad9f7f79235ac12e244d9d6ecd2c23bed786f70,462.44
0x5b518bf18dec13ef8168f30aa6e37dcec91ec6a5,185.48
0x6264d7a472e373cbea29d197743db243a8e89fd5,279.49
0x6356e04a624d3c01f1f08df32cc54aa768508b46,50.82
0x653181142dc87d1bc4a1b7849604d4ba510a4a3d,4947.17
0x65c9727a94e2e0d75a3b80194b8fac9663d1218c,25.41
0x675bc14456daed7662f4d77e61ef0478393fc350,99607.96
0x680737d1ee0104a9c2f010ba413242009e79cdcf,261.71
0x690ec7ac7d9a3432c17c71d47384ee4cb98afb10,101.63
0x6956eb714559b5719342b75013ab318c5e465b67,254.09
0x6a42a77ae5736c4e357abb10fab1ddf995e9ed32,254.09
0x6d14fc001e2eaf7930d7e0d60d6c525e9cbf9c4d,533.58
0x6dba9923f7db933335de181b478591e327c9f1f4,76.23
0x6a3540caeefc83b3bc1713665be37a6fbeff7372,462.44
0x6b237bf38c479edc2d2af238b1a42e588cec32e4,185.48
0x6d4e9fae6d15954d534b9f435bab47e5456b1305,709.13
0x6f9f6d406b71b40df3c4d82271364044790162ea,462.44
0x6fcbc22c26d19d8f15cad473f39d2738b50f362b,25.41
0x72404f96d14f6c1ce2d94e833231c659b98babe8,76.23
0x72fc9a3775cd77fee2481f20a640f0b055f47294,274692.65
0x73810d5b5301c8f76fbc6bac2299e06f903adced,1044.29
0x746d187d6307f515195ee0e15ed169df0b3eb14c,462.44
0x750630450e37a12ccbfb64eaa2d6d1b0318a1316,7825.82
0x79481b2d94cb17f3cdfd550d4981689fed25e784,1194.2
0x7d4ecb24c790e112bbd34f68a02bc090a98039ad,312.52
0x7ed162246748a218e0404542683eee0fc08fe4bd,531.04
0x7f1f2224e57c6534d6fdfbe939394f1b2fd89567,287.12
0x7a49b2d446d42e5d243db07f1a1897bc1839d6da,312.52
0x7bb98fbb6f24cd5f5a198f1a3b000eab8b0cb212,330.31
0x7bf766506912af7c206702b5321298d14af47238,462.44
0x7f76d15c57df1a4a6a9b92a22bcb67b19ec20231,203.27
0x8034c31c35893f323374c59b3a706f6bc04bd00e,462.44
0x8297337fcf036b2e0bdb815b1b482a79dc945945,370.96
0x83399fa8cae5bb851022f9de6166a2fdab7b9c63,462.44
0x85c4590f69cc2306da433be28dc3618ec12e5d4c,462.44
0x86f55007bbca77f3b896fb4ad007910cc8e5f751,8495.62
